ID venta;Fecha;Dia_semana;Hora;Producto;Categoria producto;Precio;Descuento;Metodo de pago;Total venta;Genero cliente ;Edad cliente ;Cantidad;ID cliente;Ciudad
1;5/6/2025;Jueves;03:33;Latte;Café;$ 3.000;$ 0,00;Transferencia;$ 3.000;Masculino;20;1;C0001;Recoleta
2;6/6/2025;Viernes;00:42;Espresso;Café;$ 3.500;$ 0,00;Transferencia;$ 3.500;Masculino;25;1;C0002;Palermo
1;7/6/2025;Sábado;17:34;Latte;Café;$ 3.000;$ 0,00;Efectivo;$ 3.000;Femenino;40;1;C0003;Parque Chacabuco
1;8/6/2025;Domingo;01:19;Latte;Café;$ 3.000;$ 0,00;Tarjeta de debito;$ 3.000;Femenino;35;2;C0004;Pompeya
2;9/6/2025;Lunes;05:11;Espresso;Café;$ 3.500;$ 0,00;Tarjeta de debito;$ 3.500;Femenino;34;3;C0005;Caballito
3;10/6/2025;Martes;22:54;Cappuccino;Café;$ 4.200;$ 0,00;Tarjeta de credito ;$ 4.200;Femenino;22;2;C0006;Recoleta
2;11/6/2025;Miércoles;05:08;Espresso;Café;$ 3.500;$ 0,00;Efectivo;$ 3.500;Masculino;21;2;C0007;Palermo
4;12/6/2025;Jueves;22:15;Americano;Café;$ 3.000;$ 0,00;Efectivo;$ 3.000;Masculino;30;4;C0008;Parque Chacabuco
5;13/6/2025;Viernes;21:25;Irlandes;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Masculino;20;4;C0009;Pompeya
5;14/6/2025;Sábado;19:02;Irlandes;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Femenino;25;2;C0010;Caballito
6;15/6/2025;Domingo;06:57;Bombon;Café;$ 5.000;$ 0,00;Transferencia;$ 5.000;Femenino;40;1;C0011;Recoleta
7;16/6/2025;Lunes;19:27;Descafeinado;Café;$ 3.000;$ 0,00;Transferencia;$ 3.000;Femenino;35;1;C0012;Palermo
8;17/6/2025;Martes;01:21;Macchiato;Café;$ 3.200;$ 0,00;Transferencia;$ 3.200;Femenino;34;1;C0013;Parque Chacabuco
9;18/6/2025;Miércoles;20:43;Mocaccino;Café;$ 4.200;$ 0,00;Transferencia;$ 4.200;Masculino;22;1;C0014;Pompeya
3;19/6/2025;Jueves;14:28;Cappuccino;Café;$ 4.200;$ 0,00;Efectivo;$ 4.200;Masculino;21;1;C0015;Caballito
2;20/6/2025;Viernes;15:47;Espresso;Café;$ 3.500;$ 0,00;Tarjeta de debito;$ 3.500;Masculino;30;1;C0016;Recoleta
3;21/6/2025;Sábado;15:08;Cappuccino;Café;$ 4.200;$ 0,00;Tarjeta de debito;$ 4.200;Femenino;20;2;C0017;Palermo
3;22/6/2025;Domingo;06:40;Cappuccino;Café;$ 4.200;$ 0,00;Tarjeta de credito ;$ 4.200;Femenino;25;3;C0018;Parque Chacabuco
6;23/6/2025;Lunes;19:55;Bombon;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Femenino;40;2;C0019;Pompeya
6;24/6/2025;Martes;16:35;Bombon;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Femenino;35;2;C0020;Caballito
6;25/6/2025;Miércoles;23:59;Bombon;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Masculino;34;4;C0021;Recoleta
1;26/6/2025;Jueves;18:38;Latte;Café;$ 3.000;$ 0,00;Efectivo;$ 3.000;Masculino;22;4;C0022;Palermo
9;27/6/2025;Viernes;15:52;Mocaccino;Café;$ 4.200;$ 0,00;Transferencia;$ 4.200;Masculino;21;2;C0023;Parque Chacabuco
3;28/6/2025;Sábado;09:16;Cappuccino;Café;$ 4.200;$ 0,00;Transferencia;$ 4.200;Femenino;30;1;C0024;Pompeya
8;29/6/2025;Domingo;10:28;Macchiato;Café;$ 3.200;$ 0,00;Transferencia;$ 3.200;Femenino;20;1;C0025;Caballito
2;30/6/2025;Lunes;16:34;Espresso;Café;$ 3.500;$ 0,00;Transferencia;$ 3.500;Femenino;25;1;C0026;Recoleta
3;31/6/2025;Martes;06:09;Cappuccino;Café;$ 4.200;$ 0,00;Efectivo;$ 4.200;Femenino;40;1;C0027;Palermo
1;1/7/2025;Miércoles;23:52;Latte;Café;$ 3.000;$ 0,00;Tarjeta de debito;$ 3.000;Masculino;35;1;C0028;Parque Chacabuco
1;2/7/2025;Jueves;18:37;Latte;Café;$ 3.000;$ 0,00;Tarjeta de debito;$ 3.000;Masculino;34;1;C0029;Pompeya
1;3/7/2025;Viernes;11:36;Latte;Café;$ 3.000;$ 0,00;Tarjeta de credito ;$ 3.000;Masculino;22;2;C0030;Caballito
5;4/7/2025;Sábado;00:15;Irlandes;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Femenino;21;3;C0031;Recoleta
8;5/7/2025;Domingo;21:17;Macchiato;Café;$ 3.200;$ 0,00;Efectivo;$ 3.200;Femenino;30;2;C0032;Palermo
6;6/7/2025;Lunes;00:52;Bombon;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Femenino;20;2;C0033;Parque Chacabuco
6;7/7/2025;Martes;01:57;Bombon;Café;$ 5.000;$ 0,00;Efectivo;$ 5.000;Femenino;25;4;C0034;Pompeya
2;8/7/2025;Miércoles;16:48;Espresso;Café;$ 3.500;$ 0,00;Transferencia;$ 3.500;Masculino;40;4;C0035;Caballito
3;9/7/2025;Jueves;01:58;Cappuccino;Café;$ 4.200;$ 0,00;Transferencia;$ 4.200;Masculino;35;2;C0036;Recoleta
2;10/7/2025;Viernes;20:56;Espresso;Café;$ 3.500;$ 0,00;Transferencia;$ 3.500;Masculino;34;1;C0037;Palermo
2;11/7/2025;Sábado;15:48;Espresso;Café;$ 3.500;$ 0,00;Transferencia;$ 3.500;Femenino;22;1;C0038;Parque Chacabuco
7;12/7/2025;Domingo;15:43;Descafeinado;Café;$ 3.000;$ 0,00;Efectivo;$ 3.000;Femenino;21;1;C0039;Pompeya
1;13/7/2025;Lunes;01:03;Latte;Café;$ 3.000;$ 0,00;Tarjeta de debito;$ 3.000;Femenino;30;1;C0040;Caballito
3;14/7/2025;Martes;15:11;Cappuccino;Café;$ 4.200;$ 0,00;Tarjeta de debito;$ 4.200;Femenino;20;1;C0041;Recoleta
6;15/7/2025;Miércoles;20:28;Bombon;Café;$ 5.000;$ 0,00;Tarjeta de credito ;$ 5.000;Masculino;25;2;C0042;Palermo
1;16/7/2025;Jueves;03:13;Latte;Café;$ 3.000;$ 0,00;Efectivo;$ 3.000;Masculino;40;3;C0043;Parque Chacabuco
1;17/7/2025;Viernes;07:21;Latte;Café;$ 3.000;$ 0,00;Efectivo;$ 3.000;Masculino;35;2;C0044;Pompeya
2;18/7/2025;Sábado;13:41;Espresso;Café;$ 3.500;$ 0,00;Efectivo;$ 3.500;Femenino;34;2;C0045;Caballito
3;19/7/2025;Domingo;18:43;Cappuccino;Café;$ 4.200;$ 0,00;Efectivo;$ 4.200;Femenino;22;4;C0046;Recoleta
8;20/7/2025;Lunes;11:13;Macchiato;Café;$ 3.200;$ 0,00;Transferencia;$ 3.200;Femenino;21;4;C0047;Palermo
1;21/7/2025;Martes;11:25;Latte;Café;$ 3.000;$ 0,00;Transferencia;$ 3.000;Femenino;30;2;C0048;Parque Chacabuco
1;22/7/2025;Miércoles;06:44;Latte;Café;$ 3.000;$ 0,00;Transferencia;$ 3.000;Masculino;34;1;C0049;Pompeya
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
